I,II,V1,V2,V3,V4,V5,V6,status,x
0,-3,8,13,10,-1,-2,-8,0,1179
0,-3,8,13,10,-1,-2,-8,0,1180
0,-3,8,13,10,-1,-2,-8,0,1181
0,-3,8,13,10,-1,-2,-7,0,1182
0,-3,7,13,10,-1,-2,-7,0,1183
0,-3,7,13,10,-1,-2,-7,0,1184
0,-2,7,13,9,-1,-2,-7,0,1185
0,-2,7,12,9,-1,-2,-7,0,1186
0,-2,7,12,9,-1,-2,-7,0,1187
0,-2,7,12,8,-1,-2,-7,0,1188
0,-3,7,12,8,-1,-2,-7,0,1189
-1,-3,7,11,7,-1,-2,-7,0,1190
-1,-3,6,11,7,-2,-2,-7,0,1191
-1,-3,6,11,6,-2,-2,-7,0,1192
-1,-3,6,10,5,-2,-3,-7,0,1193
-1,-4,6,10,5,-2,-3,-7,0,1194
-1,-4,6,10,5,-2,-3,-7,0,1195
-1,-4,6,10,5,-2,-3,-7,0,1196
-1,-3,5,10,6,-1,-3,-7,0,1197
0,-3,5,11,8,0,-2,-6,0,1198
0,-2,6,11,11,1,-2,-5,0,1199
1,0,6,12,14,4,-1,-4,0,1200
2,1,6,14,19,7,0,-2,0,1201
4,3,7,15,25,11,2,0,0,1202
7,7,8,17,33,17,4,3,0,1203
10,11,10,20,42,23,7,7,0,1204
14,17,11,24,51,31,11,11,0,1205
19,23,14,27,63,40,15,16,0,1206
24,29,16,32,76,49,19,21,0,1207
29,37,19,37,90,60,25,27,0,1208
35,45,22,43,105,72,30,32,0,1209
42,54,25,49,122,85,37,39,0,1210
50,63,29,56,139,100,44,45,0,1211
57,74,32,63,157,114,51,53,0,1212
65,84,36,71,176,130,59,60,0,1213
74,95,40,80,195,146,68,67,0,1214
82,106,44,89,214,163,78,75,0,1215
90,118,48,98,233,179,87,83,0,1216
99,129,52,108,252,197,97,90,0,1217
107,140,55,118,271,214,108,98,0,1218
116,151,59,129,290,231,119,105,0,1219
124,162,62,140,309,248,130,113,0,1220
131,173,65,151,327,264,141,120,0,1221
139,183,68,162,344,280,152,128,0,1222
146,193,71,173,361,296,163,135,0,1223
153,203,74,184,377,311,174,141,0,1224
160,212,77,195,393,325,185,148,0,1225
167,221,79,205,408,339,196,154,0,1226
173,230,82,215,422,351,206,160,0,1227
179,238,84,225,435,363,215,166,0,1228
185,246,86,234,448,375,224,171,0,1229
190,253,88,242,460,385,232,176,0,1230
195,260,90,249,471,395,239,181,0,1231
200,267,92,255,481,403,246,185,0,1232
204,273,94,261,491,412,252,189,0,1233
208,279,95,266,500,419,257,192,0,1234
212,284,97,271,508,426,261,195,0,1235
215,288,98,275,516,432,265,198,0,1236
218,292,99,278,522,437,268,200,0,1237
220,295,100,280,528,442,271,202,0,1238
222,298,101,283,533,446,273,204,0,1239
224,300,102,285,536,449,275,205,0,1240
225,302,103,286,539,452,277,206,0,1241
226,303,104,287,541,453,278,207,0,1242
227,304,104,288,541,454,279,207,0,1243
227,304,104,289,540,454,280,207,0,1244
227,303,105,289,538,453,280,207,0,1245
227,302,105,289,534,451,280,206,0,1246
227,301,104,289,530,448,280,205,0,1247
226,299,104,288,523,444,279,204,0,1248
224,297,103,286,516,439,277,202,0,1249
222,294,102,284,507,432,275,200,0,1250
220,290,101,282,497,425,273,197,0,1251
216,286,100,279,486,416,270,194,0,1252
213,281,98,275,474,406,266,191,0,1253
208,276,95,270,461,395,262,187,0,1254
203,269,93,266,447,382,257,183,0,1255
198,262,90,260,432,369,252,178,0,1256
191,255,86,254,417,355,246,173,0,1257
184,246,82,247,400,340,239,167,0,1258
177,237,78,239,383,325,231,161,0,1259
169,227,74,231,365,308,223,154,0,1260
160,216,70,222,346,291,214,147,0,1261
151,205,65,212,326,273,205,139,0,1262
141,193,61,202,305,255,194,131,0,1263
131,180,56,190,284,236,183,122,0,1264
121,167,51,178,262,217,172,113,0,1265
111,153,47,166,240,197,159,103,0,1266
100,140,42,152,217,178,147,94,0,1267
90,126,37,139,194,158,134,84,0,1268
79,112,33,125,171,138,120,74,0,1269
69,98,28,111,149,119,106,65,0,1270
59,84,23,96,127,100,93,55,0,1271
49,71,19,83,105,82,79,46,0,1272
40,59,15,69,85,65,66,37,0,1273
31,47,11,57,66,49,54,30,0,1274
23,37,8,45,49,36,43,22,0,1275
16,26,4,34,34,22,32,15,0,1276
9,17,2,25,20,11,22,9,0,1277
3,9,0,16,8,0,13,3,0,1278
-1,2,-1,9,-2,-8,6,-2,0,1279
-5,-4,-3,4,-10,-15,-1,-7,0,1280
-8,-9,-4,-2,-17,-21,-6,-11,0,1281
-11,-13,-5,-6,-22,-25,-11,-14,0,1282
-13,-16,-5,-9,-26,-28,-14,-16,0,1283
-14,-19,-6,-11,-29,-30,-17,-18,0,1284
-15,-20,-6,-13,-30,-31,-18,-19,0,1285
-16,-22,-6,-14,-31,-31,-19,-20,0,1286
-16,-22,-6,-15,-31,-31,-20,-20,0,1287
-16,-22,-6,-15,-31,-30,-20,-20,0,1288
-16,-22,-5,-15,-30,-30,-20,-20,0,1289
-16,-22,-5,-15,-30,-29,-20,-19,0,1290
-16,-21,-5,-14,-29,-28,-19,-19,0,1291
-16,-21,-5,-13,-28,-27,-19,-18,0,1292
-15,-20,-5,-13,-27,-26,-18,-18,0,1293
-15,-19,-5,-12,-26,-25,-18,-17,0,1294
-15,-19,-5,-12,-26,-25,-18,-16,0,1295
-15,-18,-5,-11,-25,-24,-17,-16,0,1296
-15,-18,-5,-11,-25,-24,-17,-15,0,1297
-15,-17,-5,-10,-24,-24,-17,-15,0,1298
-15,-17,-5,-10,-24,-23,-16,-15,0,1299
-15,-16,-5,-10,-23,-23,-16,-15,0,1300
-15,-16,-4,-10,-23,-23,-15,-14,0,1301
-15,-15,-4,-10,-23,-22,-15,-14,0,1302
-15,-15,-4,-10,-22,-22,-14,-14,0,1303
-14,-14,-4,-10,-22,-21,-14,-14,0,1304
-14,-14,-4,-10,-21,-21,-13,-14,0,1305
-14,-13,-4,-9,-21,-20,-13,-14,0,1306
-13,-12,-4,-9,-20,-20,-12,-14,0,1307
-13,-12,-4,-9,-20,-19,-12,-14,0,1308
-13,-11,-4,-9,-19,-19,-11,-14,0,1309
-13,-11,-4,-9,-19,-18,-11,-14,0,1310
-12,-11,-4,-9,-18,-18,-10,-14,0,1311
-12,-10,-4,-9,-18,-18,-10,-13,0,1312
-12,-10,-4,-9,-18,-17,-10,-13,0,1313
-12,-10,-4,-9,-18,-17,-10,-13,0,1314
-12,-10,-3,-9,-18,-17,-10,-13,0,1315
-12,-10,-3,-9,-17,-17,-10,-13,0,1316
-12,-10,-3,-9,-17,-17,-9,-13,0,1317
-12,-10,-3,-9,-17,-17,-9,-13,0,1318
-12,-10,-3,-9,-17,-16,-9,-13,0,1319
-12,-9,-3,-9,-17,-16,-9,-13,0,1320
-12,-9,-3,-9,-17,-16,-9,-13,0,1321
-12,-9,-3,-9,-16,-16,-9,-13,0,1322
-12,-9,-3,-9,-16,-16,-9,-13,0,1323
-12,-9,-3,-9,-16,-16,-9,-13,0,1324
-12,-9,-3,-9,-16,-15,-9,-13,0,1325
-12,-9,-3,-9,-16,-15,-9,-13,0,1326
-12,-9,-3,-9,-16,-15,-8,-13,0,1327
-12,-9,-3,-9,-16,-15,-8,-13,0,1328
-12,-9,-2,-8,-16,-15,-8,-13,0,1329
-12,-9,-2,-8,-15,-15,-8,-13,0,1330
-12,-8,-2,-8,-15,-15,-8,-13,0,1331
-12,-8,-2,-8,-15,-15,-8,-13,0,1332
-12,-8,-2,-8,-15,-14,-8,-13,0,1333
-12,-8,-2,-8,-15,-14,-7,-13,0,1334
-12,-8,-2,-8,-15,-14,-7,-12,0,1335
-11,-8,-2,-8,-14,-14,-7,-12,0,1336
-11,-8,-2,-8,-14,-14,-7,-12,0,1337
-11,-7,-2,-7,-14,-14,-7,-12,0,1338
-11,-7,-2,-7,-14,-14,-7,-12,0,1339
-11,-7,-2,-7,-14,-14,-7,-12,0,1340
-11,-7,-2,-7,-14,-14,-7,-12,0,1341
-10,-7,-2,-7,-14,-14,-7,-12,0,1342
-10,-7,-2,-7,-14,-14,-7,-12,0,1343
-10,-7,-2,-7,-14,-14,-6,-12,0,1344
-10,-6,-2,-7,-14,-14,-6,-12,0,1345
-10,-6,-2,-7,-14,-13,-6,-12,0,1346
-10,-6,-2,-7,-14,-13,-6,-12,0,1347
-10,-6,-2,-7,-14,-13,-6,-12,0,1348
-10,-6,-2,-7,-14,-13,-6,-12,0,1349
-10,-6,-2,-7,-14,-13,-6,-12,0,1350
-10,-6,-2,-7,-13,-12,-6,-12,0,1351
-10,-6,-2,-7,-13,-12,-5,-11,0,1352
-10,-6,-1,-7,-13,-12,-5,-11,0,1353
-10,-5,-1,-7,-13,-12,-5,-11,0,1354
-10,-5,-1,-7,-13,-12,-5,-11,0,1355
-10,-5,-1,-7,-13,-12,-5,-11,0,1356
-9,-5,-1,-7,-12,-11,-5,-11,0,1357
-9,-5,-1,-7,-12,-11,-5,-11,0,1358
-9,-5,-1,-7,-12,-11,-5,-11,0,1359
-9,-5,-1,-6,-12,-11,-5,-11,0,1360
-9,-5,-1,-6,-12,-11,-5,-11,0,1361
-9,-5,-1,-6,-12,-11,-5,-11,0,1362
-9,-5,-1,-6,-12,-11,-4,-11,0,1363
-8,-5,-1,-6,-12,-11,-4,-11,0,1364
-8,-5,-1,-6,-12,-11,-4,-11,0,1365
-8,-5,-1,-6,-12,-11,-4,-11,0,1366
-8,-5,-1,-6,-12,-11,-4,-11,0,1367
-8,-5,-1,-6,-12,-11,-4,-11,0,1368
-8,-5,-1,-6,-11,-11,-4,-11,0,1369
-8,-4,-1,-6,-11,-11,-4,-10,0,1370
-8,-4,-1,-6,-11,-11,-4,-10,0,1371
-8,-4,-1,-6,-11,-11,-4,-10,0,1372
-8,-4,-1,-6,-11,-10,-4,-10,0,1373
-8,-4,-1,-6,-11,-10,-3,-10,0,1374
-8,-4,-1,-6,-10,-10,-3,-10,0,1375
-8,-4,-1,-5,-10,-10,-3,-10,0,1376
-8,-4,-1,-5,-10,-10,-3,-10,0,1377
-8,-3,-1,-5,-10,-10,-3,-10,0,1378
-8,-3,-1,-5,-10,-9,-3,-9,0,1379
-8,-3,-1,-5,-10,-9,-3,-9,0,1380
-8,-3,0,-5,-10,-9,-3,-9,0,1381
-8,-3,0,-5,-9,-9,-3,-9,0,1382
-7,-3,0,-4,-9,-9,-3,-9,0,1383
-7,-3,0,-4,-9,-9,-3,-9,0,1384
-7,-3,0,-4,-9,-8,-3,-9,0,1385
-7,-3,0,-4,-9,-8,-3,-9,0,1386
-7,-3,0,-4,-9,-8,-3,-9,0,1387
-7,-3,0,-4,-9,-8,-3,-9,0,1388
-6,-2,0,-5,-8,-8,-3,-9,0,1389
-6,-2,0,-5,-8,-8,-3,-9,0,1390
-6,-2,0,-5,-8,-8,-3,-9,0,1391
-6,-2,0,-5,-8,-8,-3,-9,0,1392
-6,-2,-1,-5,-8,-7,-3,-9,0,1393
-6,-2,-1,-5,-8,-7,-3,-9,0,1394
-6,-2,0,-5,-8,-7,-3,-9,0,1395
-6,-2,0,-5,-7,-7,-3,-9,0,1396
-6,-1,0,-4,-7,-7,-3,-9,0,1397
-6,-1,0,-4,-7,-7,-3,-9,0,1398
-6,-1,0,-4,-7,-7,-2,-9,0,1399
-6,-1,0,-4,-7,-6,-2,-9,0,1400
-6,-1,0,-4,-7,-6,-2,-9,0,1401
-6,-1,0,-4,-7,-6,-2,-9,0,1402
-6,-1,0,-4,-7,-6,-2,-8,0,1403
-6,-1,0,-4,-7,-6,-2,-8,0,1404
-6,-1,0,-3,-6,-6,-2,-8,0,1405
-6,-1,0,-3,-6,-6,-2,-8,0,1406
-6,-1,0,-3,-6,-6,-2,-8,0,1407
-6,-1,0,-3,-6,-6,-2,-8,0,1408
-6,-1,0,-3,-6,-5,-2,-8,0,1409
-6,-1,0,-3,-6,-5,-2,-8,0,1410
-6,-1,0,-3,-6,-5,-2,-8,0,1411
-6,-1,0,-3,-5,-5,-2,-8,0,1412
-5,-1,0,-3,-5,-5,-1,-8,0,1413
-5,-1,0,-3,-5,-5,-1,-8,0,1414
-5,0,0,-3,-5,-4,-1,-8,0,1415
-5,0,0,-3,-5,-4,-1,-8,0,1416
-5,0,0,-3,-5,-4,-1,-8,0,1417
-5,0,0,-3,-5,-4,-1,-8,0,1418
-5,0,0,-3,-5,-4,-1,-8,0,1419
-5,0,0,-3,-5,-4,-1,-8,0,1420
-5,0,0,-3,-5,-4,-1,-8,0,1421
-5,0,0,-3,-5,-4,-1,-8,0,1422
-5,0,0,-2,-5,-4,-1,-8,0,1423
-5,0,0,-2,-4,-4,-1,-8,0,1424
-4,0,0,-2,-4,-4,-1,-8,0,1425
-4,0,0,-2,-4,-4,0,-7,0,1426
-4,0,0,-2,-4,-4,0,-7,0,1427
-4,0,0,-2,-4,-4,0,-7,0,1428
-4,0,0,-2,-4,-4,0,-7,0,1429
-4,0,0,-2,-3,-4,0,-7,0,1430
-4,0,0,-2,-3,-3,0,-7,0,1431
-4,0,0,-2,-3,-3,0,-7,0,1432
-4,0,0,-2,-3,-3,0,-7,0,1433
-4,0,0,-2,-3,-3,0,-7,0,1434
-4,0,0,-2,-3,-3,0,-6,0,1435
-4,0,0,-2,-2,-3,0,-6,0,1436
-4,0,0,-2,-2,-3,0,-6,0,1437
-4,0,0,-2,-2,-2,0,-6,0,1438
-3,0,0,-2,-2,-2,0,-6,0,1439
-3,0,0,-1,-2,-2,0,-6,0,1440
-3,0,0,-1,-2,-2,0,-6,0,1441
-3,0,0,-1,-2,-2,1,-6,0,1442
-3,0,0,-1,-2,-1,1,-6,0,1443
-3,0,0,-1,-2,-1,1,-6,0,1444
-3,0,0,-1,-2,-1,1,-6,0,1445
-3,0,0,-1,-2,-1,1,-6,0,1446
-3,0,0,-1,-2,-1,1,-6,0,1447
-3,1,0,-1,-2,-1,1,-6,0,1448
-3,1,0,-1,-2,-1,1,-6,0,1449
-3,1,0,-1,-2,-1,1,-6,0,1450
-3,1,0,-1,-1,-1,1,-6,0,1451
-3,1,0,-1,-1,0,1,-6,0,1452
-3,1,0,-1,-1,0,1,-6,0,1453
-3,1,0,-1,-1,0,1,-6,0,1454
-3,1,0,0,-1,0,1,-6,0,1455
-3,1,0,0,-1,0,1,-5,0,1456
-3,1,0,0,-1,0,1,-5,0,1457
-2,1,0,0,-1,0,1,-5,0,1458
-2,1,0,0,-1,0,1,-5,0,1459
-2,1,0,0,-1,0,1,-5,0,1460
-2,1,0,0,-1,0,1,-5,0,1461
-2,1,0,0,-1,0,2,-4,0,1462
-2,1,0,0,0,0,2,-4,0,1463
-2,1,0,0,0,0,2,-4,0,1464
-2,1,1,0,0,1,2,-4,0,1465
-2,1,1,0,0,1,2,-4,0,1466
-2,1,1,0,0,1,2,-4,0,1467
-2,2,1,1,0,1,2,-4,0,1468
-1,2,1,1,0,1,2,-4,0,1469
-1,2,1,1,0,1,2,-4,0,1470
-1,2,1,1,0,1,2,-4,0,1471
-1,2,1,1,0,1,2,-4,0,1472
-1,2,1,1,0,1,2,-4,0,1473
-1,3,1,1,0,1,2,-4,0,1474
-1,3,1,1,0,1,2,-4,0,1475
-1,3,1,1,0,1,3,-4,0,1476
0,3,0,1,0,1,3,-4,0,1477
0,3,0,1,0,1,3,-4,0,1478
0,3,0,1,0,1,3,-4,0,1479
0,3,0,1,0,1,3,-4,0,1480
0,3,0,1,0,1,3,-4,0,1481
0,3,0,1,0,2,3,-4,0,1482
0,3,0,1,0,2,3,-3,0,1483
0,3,0,1,1,2,3,-3,0,1484
0,3,0,1,1,2,3,-3,0,1485
0,3,0,1,1,2,3,-3,0,1486
0,3,0,1,1,2,3,-3,0,1487
0,3,0,1,1,2,3,-3,0,1488
0,3,0,2,1,2,3,-3,0,1489
0,3,0,2,1,2,3,-3,0,1490
0,3,0,2,1,2,3,-3,0,1491
0,3,0,2,1,2,3,-3,0,1492
0,4,0,2,1,2,3,-3,0,1493
0,4,0,2,1,2,3,-3,0,1494
0,4,0,2,1,2,3,-3,0,1495
0,4,0,2,1,2,3,-3,0,1496
0,4,0,2,1,2,4,-3,0,1497
0,4,0,2,1,2,4,-3,0,1498
0,4,1,3,2,2,4,-3,0,1499
0,4,1,3,2,3,4,-3,0,1500
0,4,1,3,2,3,4,-2,0,1501
0,4,1,3,2,3,4,-2,0,1502
0,4,1,3,2,3,4,-2,0,1503
1,4,1,3,2,3,4,-2,0,1504
1,5,1,3,2,3,4,-2,0,1505
1,5,1,3,3,3,4,-2,0,1506
1,5,1,3,3,3,4,-2,0,1507
1,5,1,3,3,3,5,-2,0,1508
1,5,1,4,3,3,5,-2,0,1509
1,5,1,3,2,3,4,-2,0,1510
1,4,1,3,2,3,4,-2,0,1511
1,4,1,3,2,3,4,-2,0,1512
1,4,1,3,2,3,4,-2,0,1513
1,3,1,3,1,2,4,-2,0,1514
1,3,1,3,1,2,4,-2,0,1515
1,2,1,3,0,2,4,-3,0,1516
1,1,1,2,0,2,4,-3,0,1517
1,1,0,2,0,3,4,-3,0,1518
1,1,0,3,1,4,5,-2,0,1519
2,2,0,3,2,5,7,-2,0,1520
3,2,1,4,4,8,9,-1,0,1521
4,4,1,5,6,11,12,1,0,1522
6,6,1,7,10,14,16,3,0,1523
9,10,2,9,14,19,20,6,0,1524
12,14,3,12,20,25,26,9,0,1525
16,19,5,16,26,32,32,13,0,1526
21,26,7,21,34,39,39,18,0,1527
26,33,10,27,42,47,46,24,0,1528
32,42,13,33,50,55,55,30,0,1529
39,50,16,40,59,64,63,36,0,1530
46,60,20,47,69,73,73,44,0,1531
54,71,24,54,79,83,82,51,0,1532
62,82,28,62,88,92,91,59,0,1533
70,93,31,69,97,101,99,67,0,1534
78,103,35,77,106,109,108,74,0,1535
86,114,39,84,114,116,115,81,0,1536
93,124,42,90,121,123,122,88,0,1537
100,133,45,96,127,129,128,94,0,1538
106,141,48,101,132,134,133,99,0,1539
112,148,50,106,137,138,138,104,0,1540
116,154,52,110,140,141,141,107,0,1541
120,159,53,112,143,144,144,110,0,1542
122,162,54,114,144,145,145,111,0,1543
123,164,54,115,145,146,146,112,0,1544
124,164,54,114,145,146,146,112,0,1545
123,163,53,113,144,145,144,110,0,1546
121,161,51,111,142,143,142,108,0,1547
118,157,49,107,140,140,140,105,0,1548
114,152,47,103,137,136,136,101,0,1549
109,146,44,98,133,131,131,97,0,1550
103,138,41,92,128,126,126,91,0,1551
97,130,38,86,122,119,119,85,0,1552
90,121,34,79,115,112,112,79,0,1553
82,110,30,71,108,104,105,72,0,1554
74,100,26,64,100,95,96,65,0,1555
66,89,23,56,91,86,87,57,0,1556
57,78,19,48,82,77,78,50,0,1557
49,67,15,41,73,67,69,42,0,1558
41,56,12,34,63,58,60,35,0,1559
34,46,9,27,54,49,50,29,0,1560
27,38,6,21,46,41,43,23,0,1561
22,29,4,16,38,33,34,18,0,1562
17,22,2,12,30,26,27,13,0,1563
12,16,1,9,24,20,20,8,0,1564
8,10,0,6,18,14,14,5,0,1565
6,6,0,3,13,10,10,2,0,1566
3,3,0,1,9,6,6,0,0,1567
2,0,-1,0,6,4,3,-2,0,1568
1,0,-1,-1,3,2,0,-3,0,1569
0,-1,-1,-1,2,1,-1,-3,0,1570
0,-1,-1,-1,1,0,-2,-3,0,1571
0,-1,-1,-1,0,0,-2,-3,0,1572
0,-1,-1,-1,0,0,-2,-2,0,1573
0,0,-1,-1,0,0,-1,-2,0,1574
0,0,-1,-1,0,1,0,-1,0,1575
0,0,-1,0,1,1,1,0,0,1576
0,1,0,0,1,2,1,1,0,1577
0,1,0,0,1,2,2,1,0,1578
0,2,0,0,2,2,3,2,0,1579
0,2,0,1,2,2,3,2,0,1580
0,2,0,1,2,3,3,2,0,1581
0,3,0,1,2,3,4,3,0,1582
0,3,0,1,3,3,4,3,0,1583
0,3,0,1,3,4,4,3,0,1584
0,4,0,2,4,4,5,3,0,1585
0,4,0,2,4,5,5,4,0,1586
1,4,0,2,5,6,6,4,0,1587
2,5,0,2,6,7,6,4,0,1588
2,6,0,2,6,8,7,5,0,1589
3,6,0,2,7,8,8,5,0,1590
4,7,-1,2,7,9,8,5,0,1591
5,7,-1,2,7,9,9,6,0,1592
5,8,-2,1,5,9,8,6,0,1593
6,8,-3,0,3,7,8,5,0,1594
5,7,-4,-2,0,5,6,4,0,1595
5,5,-5,-4,-4,1,3,2,0,1596
3,3,-6,-7,-10,-5,0,0,0,1597
0,-1,-7,-10,-18,-12,-6,-5,0,1598
-2,-6,-8,-13,-26,-20,-13,-10,0,1599
-7,-12,-7,-16,-34,-29,-21,-17,0,1600
-12,-20,-6,-18,-41,-38,-30,-25,0,1601
-18,-28,-3,-18,-47,-47,-40,-33,0,1602
-24,-36,1,-17,-48,-53,-49,-41,0,1603
-31,-44,7,-13,-45,-56,-57,-49,0,1604
-37,-50,16,-5,-35,-54,-61,-54,0,1605
-41,-54,27,7,-17,-45,-62,-56,0,1606
-43,-54,41,24,9,-28,-56,-53,0,1607
-42,-49,57,46,46,-2,-43,-45,0,1608
-36,-37,75,73,93,36,-22,-30,0,1609
-26,-18,94,104,151,84,8,-7,0,1610
-11,9,114,138,218,145,49,23,0,1611
9,44,132,174,291,216,101,63,0,1612
35,89,148,209,369,295,162,111,0,1613
68,142,160,241,448,381,231,168,0,1614
106,201,167,267,523,470,306,230,0,1615
147,267,167,285,591,559,385,296,0,1616
191,335,159,292,647,643,464,364,0,1617
237,404,143,285,686,718,540,430,0,1618
281,471,117,263,706,780,610,493,0,1619
323,533,82,225,704,825,669,548,0,1620
360,587,38,170,678,852,716,594,0,1621
390,630,-12,100,630,858,747,628,0,1622
413,660,-70,17,559,842,761,648,0,1623
428,676,-131,-76,469,805,757,654,0,1624
432,677,-193,-176,365,748,736,644,0,1625
427,663,-254,-279,250,674,698,621,0,1626
412,634,-310,-379,131,587,646,584,0,1627
389,592,-360,-472,13,491,581,537,1024,1628
359,539,-401,-553,-98,389,508,481,0,1629
322,478,-431,-619,-198,288,430,418,0,1630
281,411,-448,-666,-283,190,350,353,0,1631
238,341,-454,-693,-349,101,271,287,0,1632
194,272,-447,-700,-396,23,197,223,0,1633
151,205,-428,-686,-421,-43,130,164,0,1634
111,144,-399,-653,-428,-95,71,110,0,1635
74,89,-362,-605,-416,-132,23,64,0,1636
42,43,-320,-544,-390,-156,-14,27,0,1637
17,5,-273,-475,-352,-167,-43,-2,0,1638
-3,-24,-225,-400,-307,-167,-62,-24,0,1639
-19,-45,-178,-325,-257,-158,-72,-39,0,1640
-30,-58,-134,-252,-206,-143,-76,-48,0,1641
-36,-65,-94,-184,-156,-124,-74,-51,0,1642
-39,-66,-59,-124,-111,-102,-69,-51,0,1643
-38,-63,-29,-72,-71,-81,-60,-48,0,1644
-36,-58,-6,-30,-38,-60,-51,-43,0,1645
-32,-50,10,3,-12,-42,-41,-38,0,1646
-27,-42,22,26,6,-27,-32,-32,0,1647
-22,-34,29,41,19,-15,-23,-26,0,1648
-17,-26,33,50,27,-6,-16,-21,0,1649
-13,-19,33,54,31,1,-11,-17,0,1650
-9,-14,32,53,31,4,-7,-13,0,1651
-6,-10,29,50,29,6,-4,-11,0,1652
-3,-6,26,45,26,6,-2,-9,0,1653
-2,-4,22,39,23,6,-1,-8,0,1654
-1,-3,19,34,19,4,-1,-8,0,1655
0,-3,16,28,16,3,-1,-7,0,1656
0,-3,13,24,13,1,-1,-7,0,1657
0,-3,11,20,11,0,-2,-7,0,1658
0,-3,10,17,9,-2,-2,-8,0,1659
0,-4,9,15,8,-3,-3,-8,0,1660
0,-4,9,14,7,-3,-3,-8,0,1661
-1,-5,8,13,7,-3,-3,-8,0,1662
-1,-5,8,13,7,-4,-3,-8,0,1663
-1,-5,8,13,7,-4,-3,-8,0,1664
-1,-5,8,12,7,-4,-3,-8,0,1665
-1,-5,8,12,7,-3,-3,-8,0,1666
-1,-5,8,13,7,-3,-3,-8,0,1667
-1,-5,8,13,7,-3,-3,-8,0,1668
-1,-5,8,13,8,-3,-3,-8,0,1669
-1,-5,8,13,8,-3,-3,-8,0,1670
0,-5,8,13,8,-3,-2,-8,0,1671
0,-4,8,13,8,-3,-2,-8,0,1672
0,-4,8,13,8,-3,-2,-8,0,1673
0,-4,8,13,8,-2,-2,-8,0,1674
0,-4,8,13,8,-2,-2,-8,0,1675
0,-4,8,13,8,-2,-2,-7,0,1676
0,-4,8,12,8,-2,-2,-7,0,1677
0,-4,8,12,8,-2,-2,-7,0,1678
0,-4,8,12,8,-2,-2,-7,0,1679
0,-4,8,12,8,-2,-2,-7,0,1680
0,-3,8,12,9,-2,-2,-7,0,1681
0,-3,8,12,9,-2,-2,-7,0,1682
0,-3,8,12,9,-1,-2,-7,0,1683
0,-3,8,12,9,-1,-1,-7,0,1684
0,-3,8,12,9,-1,-1,-7,0,1685
0,-3,8,12,9,-1,-1,-6,0,1686
0,-3,8,12,9,-1,-1,-6,0,1687
0,-3,8,12,9,-1,-1,-6,0,1688
0,-3,8,12,9,-1,-1,-6,0,1689
0,-3,8,12,9,-1,-1,-6,0,1690
0,-3,7,12,9,-1,-1,-6,0,1691
0,-3,7,11,8,-1,-1,-7,0,1692
0,-3,7,11,7,-2,-1,-7,0,1693
0,-3,7,11,7,-2,-1,-7,0,1694
0,-4,7,11,6,-2,-1,-7,0,1695
0,-4,7,11,5,-2,-1,-7,0,1696
0,-4,7,10,5,-3,-1,-7,0,1697
0,-4,6,10,5,-3,-1,-8,0,1698
0,-4,6,10,5,-2,-1,-7,0,1699
0,-4,6,10,6,-2,-1,-7,0,1700
0,-3,6,11,8,-1,-1,-6,0,1701
1,-2,6,11,10,1,0,-5,0,1702
2,-1,6,12,14,3,0,-4,0,1703
4,1,7,13,19,7,1,-2,0,1704
6,4,7,15,25,11,2,0,0,1705
9,8,8,17,33,16,5,2,0,1706
12,12,10,19,42,23,7,6,0,1707
16,17,11,23,51,30,11,10,0,1708
21,23,14,27,63,39,15,15,0,1709
25,30,16,31,76,49,19,20,0,1710
31,38,19,36,90,60,25,26,0,1711
37,46,22,42,105,72,31,32,0,1712
44,55,25,48,122,85,37,38,0,1713
51,65,29,55,139,99,44,45,0,1714
59,75,33,63,157,114,51,52,0,1715
67,85,37,71,176,130,60,59,0,1716
75,96,41,80,195,146,69,67,0,1717
84,107,45,89,214,163,78,74,0,1718
92,118,49,98,233,180,88,82,0,1719
101,129,53,108,253,197,98,90,0,1720
109,140,57,118,272,214,108,97,0,1721
118,151,60,129,291,231,119,105,0,1722
126,162,64,140,309,248,130,112,0,1723
133,173,67,151,327,265,141,120,0,1724
141,183,70,162,345,281,153,127,0,1725
148,193,73,173,362,296,164,134,0,1726
155,203,76,184,378,311,175,141,0,1727
162,212,78,195,393,325,186,147,0,1728
169,221,81,205,408,339,196,153,0,1729
175,230,83,215,422,351,206,159,0,1730
181,239,85,224,436,363,216,165,0,1731
187,246,87,233,448,374,224,170,0,1732
192,254,89,241,460,385,232,175,0,1733
197,261,91,249,471,394,240,180,0,1734
202,268,93,255,481,403,246,184,0,1735
206,274,95,261,491,411,252,188,0,1736
210,279,96,266,500,419,257,192,0,1737
213,284,98,270,508,426,262,195,0,1738
217,288,99,274,515,432,266,197,0,1739
219,292,100,277,522,437,269,200,0,1740
222,296,101,280,527,442,272,202,0,1741
224,298,102,282,532,446,274,204,0,1742
225,300,103,284,536,449,276,205,0,1743
227,302,104,286,538,452,278,206,0,1744
228,303,105,287,540,453,279,206,0,1745
229,304,105,288,540,454,280,206,0,1746
229,304,106,289,539,454,280,206,0,1747
229,304,106,289,537,453,281,206,0,1748
229,303,106,289,533,451,280,205,0,1749
228,302,105,288,529,448,280,204,0,1750
227,300,105,287,522,444,279,202,0,1751
