I,II,V1,V2,V3,V4,V5,V6,status,x
-9,-7,-3,-6,-14,-14,-6,-12,0,337
-9,-7,-3,-6,-14,-14,-6,-12,0,338
-9,-6,-2,-6,-14,-14,-6,-12,0,339
-9,-6,-2,-6,-14,-14,-6,-12,0,340
-8,-6,-2,-6,-13,-14,-6,-12,0,341
-8,-6,-2,-5,-13,-14,-6,-12,0,342
-8,-6,-2,-5,-13,-14,-6,-12,0,343
-8,-6,-2,-5,-13,-14,-6,-12,0,344
-8,-6,-2,-5,-13,-14,-6,-12,0,345
-8,-6,-2,-5,-13,-13,-6,-12,0,346
-8,-6,-2,-5,-13,-13,-6,-12,0,347
-8,-6,-2,-5,-13,-13,-6,-12,0,348
-8,-6,-2,-5,-13,-13,-5,-12,0,349
-8,-5,-2,-5,-13,-13,-5,-12,0,350
-8,-5,-2,-5,-12,-13,-5,-12,0,351
-8,-5,-2,-5,-12,-12,-5,-12,0,352
-8,-5,-2,-5,-12,-12,-5,-12,0,353
-8,-5,-2,-5,-12,-12,-5,-11,0,354
-8,-5,-2,-5,-12,-12,-5,-11,0,355
-8,-5,-1,-5,-12,-12,-4,-11,0,356
-8,-5,-1,-5,-12,-12,-4,-11,0,357
-8,-5,-1,-5,-12,-12,-4,-11,0,358
-8,-5,-1,-5,-12,-12,-4,-11,0,359
-8,-5,-1,-5,-11,-11,-4,-11,0,360
-8,-5,-1,-5,-11,-11,-4,-11,0,361
-8,-5,-1,-5,-11,-11,-4,-11,0,362
-8,-5,-1,-4,-11,-11,-4,-11,0,363
-8,-5,-1,-4,-11,-11,-4,-11,0,364
-8,-5,-1,-4,-11,-11,-4,-11,0,365
-8,-4,-1,-4,-11,-11,-4,-11,0,366
-8,-4,-1,-4,-11,-11,-4,-10,0,367
-8,-4,-1,-4,-11,-11,-3,-10,0,368
-8,-4,-1,-4,-11,-11,-3,-10,0,369
-8,-4,-1,-4,-10,-10,-3,-10,0,370
-7,-4,-1,-4,-10,-10,-3,-10,0,371
-7,-4,-1,-4,-10,-10,-3,-10,0,372
-7,-4,-1,-4,-10,-10,-3,-10,0,373
-7,-4,-1,-4,-10,-10,-3,-10,0,374
-7,-4,-1,-4,-10,-10,-3,-10,0,375
-7,-4,-1,-4,-10,-10,-3,-9,0,376
-7,-4,-1,-4,-10,-10,-3,-9,0,377
-7,-3,-1,-4,-10,-10,-3,-9,0,378
-7,-3,-1,-4,-9,-10,-3,-9,0,379
-7,-3,-1,-4,-9,-10,-2,-9,0,380
-7,-3,-1,-4,-9,-9,-2,-9,0,381
-7,-3,-1,-4,-9,-9,-2,-9,0,382
-7,-3,-1,-4,-9,-9,-2,-9,0,383
-7,-3,-1,-4,-9,-9,-2,-9,0,384
-7,-3,-1,-4,-8,-9,-2,-9,0,385
-7,-3,-1,-3,-8,-8,-2,-9,0,386
-7,-3,-1,-3,-8,-8,-2,-9,0,387
-7,-3,-1,-3,-8,-8,-2,-9,0,388
-7,-2,-1,-3,-8,-8,-2,-9,0,389
-7,-2,-1,-3,-8,-8,-2,-9,0,390
-7,-2,-1,-3,-8,-8,-2,-9,0,391
-7,-2,-1,-3,-7,-7,-2,-9,0,392
-7,-2,-1,-3,-7,-7,-1,-9,0,393
-6,-2,-1,-3,-7,-7,-1,-9,0,394
-6,-2,-1,-3,-7,-7,-1,-9,0,395
-6,-2,-1,-3,-7,-7,-1,-9,0,396
-6,-2,0,-3,-7,-7,-1,-8,0,397
-6,-2,0,-3,-6,-7,-1,-8,0,398
-6,-2,0,-3,-6,-7,-1,-8,0,399
-6,-1,0,-3,-6,-6,-1,-8,0,400
-6,-1,0,-3,-6,-6,-1,-8,0,401
-6,-1,0,-2,-6,-6,-1,-8,0,402
-6,-1,0,-2,-6,-6,-1,-8,0,403
-6,-1,0,-2,-6,-6,-1,-8,0,404
-6,-1,0,-2,-6,-6,-1,-8,0,405
-6,-1,0,-2,-6,-6,-1,-8,0,406
-6,-1,0,-2,-6,-6,0,-8,0,407
-6,-1,0,-2,-5,-6,0,-8,0,408
-6,-1,0,-2,-5,-6,0,-8,0,409
-6,-1,0,-2,-5,-5,0,-8,0,410
-6,-1,0,-2,-5,-5,0,-8,0,411
-6,-1,0,-2,-5,-5,0,-8,0,412
-6,-1,0,-2,-5,-5,0,-8,0,413
-6,0,0,-1,-5,-5,0,-8,0,414
-5,0,0,-1,-5,-4,0,-8,0,415
-5,0,0,-1,-5,-4,0,-7,0,416
-5,0,0,-1,-4,-4,0,-7,0,417
-5,0,0,-1,-4,-4,0,-7,0,418
-5,0,0,-1,-4,-4,0,-7,0,419
-5,0,0,-1,-4,-4,0,-7,0,420
-4,0,0,-1,-4,-4,0,-7,0,421
-4,0,0,-1,-4,-4,0,-7,0,422
-4,0,0,-1,-3,-3,0,-7,0,423
-4,0,0,-1,-3,-3,0,-7,0,424
-4,1,0,-1,-3,-3,0,-7,0,425
-4,1,0,-1,-3,-3,0,-7,0,426
-4,1,0,-1,-3,-3,0,-7,0,427
-3,1,0,-1,-3,-3,0,-7,0,428
-3,1,0,-1,-3,-3,0,-7,0,429
-3,1,0,-1,-3,-3,0,-7,0,430
-3,1,0,-1,-3,-3,0,-7,0,431
-3,1,0,-1,-3,-3,0,-6,0,432
-3,1,0,-1,-3,-3,0,-6,0,433
-3,1,0,-1,-3,-3,0,-6,0,434
-3,1,0,-1,-2,-3,0,-6,0,435
-3,1,0,-1,-2,-2,0,-6,0,436
-3,1,0,0,-2,-2,0,-6,0,437
-3,1,0,0,-2,-2,0,-6,0,438
-3,1,0,0,-2,-2,0,-6,0,439
-3,1,0,0,-2,-2,0,-6,0,440
-3,2,0,0,-1,-2,1,-6,0,441
-3,2,0,0,-1,-2,1,-5,0,442
-3,2,0,0,-1,-1,1,-5,0,443
-3,2,0,0,-1,-1,1,-5,0,444
-3,2,0,0,-1,-1,1,-5,0,445
-3,2,0,0,-1,-1,1,-5,0,446
-3,2,1,0,-1,-1,1,-5,0,447
-3,2,1,0,-1,-1,1,-5,0,448
-3,2,1,0,0,-1,1,-5,0,449
-3,2,1,0,0,-1,1,-5,0,450
